"evidence","login","id","savingTime","clientTime","uxLang","parameter","recommendedId","recommendedVideoId","recommendedAuthor","recommendedTitle","recommendedLength","recommendedDisplayL","recommendedLengthText","recommendedPubTime","recommendedRelativeS","recommendedViews","recommendedForYou","recommendedVerified","recommendationOrder","recommendedKind","watchedVideoId","watchedTitle","watchedAuthor","watchedChannel","watchedPubTime","watchedViews","watchedLike","watchedDislike","hoursOffset","experiment","pseudonym","step","top20","isAPItoo","thumbnail","qualitative"
35,"true","afbeebffcae8adecb88",2020-03-26T02:26:31.781Z,2020-03-26T02:37:35.000Z,"it","","738f79881e809330119ffe97cb0e317e7090aeaf","EJDYz2Cd9dE","BBC News","Coronavirus: sharp rise in UK death toll as hospitals prepare for a surge in cases - BBC News",38940,"10:49","10 minuti e 49 secondi",2020-03-25T02:37:51.000Z,86400,1207,"false","true",36,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,642740,6080,213,27,"wetest1","muffin-apple-macaroon","English","false","false","https://i.ytimg.com/vi/EJDYz2Cd9dE/mqdefault.jpg","relevant"
36,"true","afbeebffcae8adecb88",2020-03-26T02:26:31.781Z,2020-03-26T02:37:35.000Z,"it","","a4648ff8e33330fbbea2b0a61c783af7eb862316","28ZN0wsfBpk","Channel 4 News","Intensive care doctor warns of ’tsunami’ of UK coronavirus cases - says we ’won’t cope’ | COVID-19",25740,"7:09","7 minuti e 9 secondi",2020-03-25T12:37:51.000Z,50400,186604,"false","true",37,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,642740,6080,213,27,"wetest1","muffin-apple-macaroon","English","false","false","https://i.ytimg.com/vi/28ZN0wsfBpk/mqdefault.jpg","relevant"
37,"true","afbeebffcae8adecb88",2020-03-26T02:26:31.781Z,2020-03-26T02:37:35.000Z,"it","","88e9cd95bb652d7c2a63f5cd7a011f4af13d35ee","dkozG3IcXUU","Channel 4 News","Italian doctor on how virus ’exploded’, having coronavirus & how to fight it",48420,"13:27","13 minuti e 27 secondi",2020-03-22T02:37:51.000Z,345600,1877,"false","true",38,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,642740,6080,213,27,"wetest1","muffin-apple-macaroon","English","false","true","https://i.ytimg.com/vi/dkozG3IcXUU/mqdefault.jpg","relevant"
38,"true","afbeebffcae8adecb88",2020-03-26T02:26:31.781Z,2020-03-26T02:37:35.000Z,"it","","5b0c15ff41768d1d5620ea16e99b4392108ec14e","Wak8UQebNDs","CBS This Morning","Coronavirus patients describe symptoms, battle for recovery",19200,"5:20","5 minuti e 20 secondi",2020-03-19T02:37:51.000Z,604800,1888,"false","true",39,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,642740,6080,213,27,"wetest1","muffin-apple-macaroon","English","false","false","https://i.ytimg.com/vi/Wak8UQebNDs/mqdefault.jpg","relevant"
39,"true","afbeebffcae8adecb88",2020-03-26T02:26:31.781Z,2020-03-26T02:37:35.000Z,"it","","12e406de92d652872e624447d610393d6dcc775c","F576tDLa10E","Business Insider","Why A Coronavirus Vaccine Could Be Developed In Record Time",17220,"4:47","4 minuti e 47 secondi",2020-03-25T02:37:51.000Z,86400,230704,"false","true",40,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,642740,6080,213,27,"wetest1","muffin-apple-macaroon","English","false","false","https://i.ytimg.com/vi/F576tDLa10E/mqdefault.jpg","relevant"
0,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","5f9ce0baaeee21ded633802ba272f46bc7294409","OOJqHPfG7pA","Science Insider","What Coronavirus Symptoms Look Like, Day By Day",19140,"5:19","5 minutos y 19 segundos",2020-03-18T23:59:17.000Z,604800,11267,"true","true",1,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/OOJqHPfG7pA/mqdefault.jpg","relevant"
1,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","3d96af7149f2f6cf72e2efc56c9b8728d00ef08c","P_9DXEnEd-Q","Dr. Finch’s Lab","Viruses vs. Bacteria | What’s The Difference?",21000,"5:50","5 minutos y 50 segundos",2018-03-25T22:59:17.000Z,63072000,637482,"true","true",2,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/P_9DXEnEd-Q/mqdefault.jpg","linked"
2,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","2d5839747973abd61e86d668537e690bba1f298b","B_Gzc2Z7uQY","BBC News Mundo","Coronavirus: qué puedes hacer para protegerte y evitar el contagio",14460,"4:01","4 minutos y 1 segundo",2020-02-25T23:59:17.000Z,2592000,615916,"true","true",3,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/B_Gzc2Z7uQY/mqdefault.jpg","relevant"
3,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","aa6d83baebc0a1a4196559fad968da14ddae0209","BtN-goy9VOY","Kurzgesagt – In a Nutshell","El coronavirus explicado y qué debes de  hacer",30900,"8:35","8 minutos y 35 segundos",2020-03-19T23:59:17.000Z,518400,17178,"true","true",4,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/BtN-goy9VOY/mqdefault.jpg","relevant"
4,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","bde8f8e6a22269335d8281359baefdbe2b73c4b0","G9oqvJ3iXGI","Channel 4 News","Coronavirus survivor reveals what it’s like to have Covid-19",29460,"8:11","8 minutos y 11 segundos",2020-03-11T23:59:17.000Z,1209600,10111,"false","true",5,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/G9oqvJ3iXGI/mqdefault.jpg","relevant"
5,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","e4c94430930f7b23bbd03f602589c8e74d86387c","NJLXdsO1GBI","Stated Clearly","De dónde vienen los nuevos virus?",36600,"10:10","10 minutos y 10 segundos",2020-03-04T23:59:17.000Z,1814400,2547,"true","true",6,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/NJLXdsO1GBI/mqdefault.jpg","linked"
6,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","e0f1feddf3abcaaf08eaeabf82d081effc2215e3","2sA_gQFZiPQ","NBC News","NBC Nightly News Broadcast (Full) - March 23rd, 2020 | NBC Nightly News",76200,"21:10","21 minutos",2020-03-24T23:59:17.000Z,86400,1244,"false","true",7,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/2sA_gQFZiPQ/mqdefault.jpg","linked"
7,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","217aea4354d85a872cf4e3a109bdb01fb9fb398b","Rpj0emEGShQ","NPR","Flu Attack! How A Virus Invades Your Body | Krulwich Wonders | NPR",13140,"3:39","3 minutos y 39 segundos",2010-03-25T23:59:17.000Z,315532800,7831,"true","true",8,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/Rpj0emEGShQ/mqdefault.jpg","linked"
8,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","0546c91db4eaee69ef705954a2a3ea611e6d3d74","ddlRvqhGdPk","Los Angeles Times","The Science Behind the Coronavirus, the complete series",119700,"33:15","33 minutos",2020-03-18T23:59:17.000Z,604800,1304,"false","true",9,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/ddlRvqhGdPk/mqdefault.jpg","relevant"
9,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","37e1819c43a045b0e24f8e50ba480e1e27b42244","5CRxyHU9Oxo","Doctor Mike","Doctor Fact-Checks Media On Coronavirus",34620,"9:37","9 minutos y 37 segundos",2020-03-11T23:59:17.000Z,1209600,4412,"true","true",10,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/5CRxyHU9Oxo/mqdefault.jpg","relevant"
10,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","1480748b141de68537e6f8323ba60321838c39b1","Xj1nUFFVK1E","Neural Academy","HOW DOES COVID-19 AFFECT THE BODY?",18900,"5:15","5 minutos y 15 segundos",2020-02-25T23:59:17.000Z,2592000,3141,"true","true",11,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/Xj1nUFFVK1E/mqdefault.jpg","relevant"
11,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","f1631d28a92b44ea1fb7c632ce9597c70e9e5afc","CxQPCfeywXQ","Maych TV","I HAVE CORONAVIRUS (SYMPTOMS AND TIMELINE)",50640,"14:04","14 minutos y 4 segundos",2020-03-24T23:59:17.000Z,86400,87966,"true","true",12,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/CxQPCfeywXQ/mqdefault.jpg","relevant"
12,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","d9098cbc52b5e148f7c5ffc927451c198c72b1b2","T7TGH2rO9-Y","TRT World","My coronavirus story: a survivor shares her story",19680,"5:28","5 minutos y 28 segundos",2020-03-19T23:59:17.000Z,518400,427059,"false","true",13,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/T7TGH2rO9-Y/mqdefault.jpg","relevant"
13,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","c5438641d50282ff8791fc3b2682f5cc395e569e","2JsWf-2nN1Y","Guardian News","Coronavirus: how do I know if I’m infected and what happens next?",7800,"2:10","2 minutos y 10 segundos",2020-03-20T23:59:17.000Z,432000,1027,"false","true",14,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/2JsWf-2nN1Y/mqdefault.jpg","relevant"
14,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","bc41a22c3d29f33069e6377aa23d1f467f036b2e","RzOozSsTetE","Modern Aging - Holistic Health and Wealth After 50","Got Mild Coronavirus Symptoms?  Tips On What To Do",27600,"7:40","7 minutos y 40 segundos",2020-03-20T23:59:17.000Z,432000,145180,"true","true",15,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/RzOozSsTetE/mqdefault.jpg","relevant"
15,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","2d743704d6acb0beb6382e22c3abd6fee1280a78","vdx4Jo0GCRU","Sky News","Coronavirus: Italian city’s warning to the rest of the world",17580,"4:53","4 minutos y 53 segundos",2020-03-22T23:59:17.000Z,259200,2569,"false","true",16,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/vdx4Jo0GCRU/mqdefault.jpg","relevant"
16,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","6b59962dbc750ee7f2da75d09ffce64b46280146","TPpoJGYlW54","Vox","How wildlife trade is linked to coronavirus",31740,"8:49","8 minutos y 49 segundos",2020-03-11T23:59:17.000Z,1209600,19670,"false","true",17,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/TPpoJGYlW54/mqdefault.jpg","relevant"
17,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","1984ccad5057eed864c6560cae643e62a8ec736e","qNkjJHliMZo","BBC News","Coronavirus: Do face masks work? - BBC News",10320,"2:52","2 minutos y 52 segundos",2020-03-22T23:59:17.000Z,259200,477517,"false","true",18,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","true","https://i.ytimg.com/vi/qNkjJHliMZo/mqdefault.jpg","relevant"
18,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","1b6f36b30f5da6931b76ee18cd3529d9105497a6","2bI5pQGXl2o","The Telegraph","What happens to your body when you get coronavirus",7560,"2:06","2 minutos y 6 segundos",2020-03-04T23:59:17.000Z,1814400,2304,"false","true",19,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/2bI5pQGXl2o/mqdefault.jpg","relevant"
19,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","d616f96322b1c7d82c47bd0dfccd5496d8f467aa","Y7nZ4mw4mXw","60 Minutes Australia","Journalist goes undercover at 〃wet markets〃, where the Coronavirus started | 60 Minutes Australia",99060,"27:31","27 minutos",2020-03-11T23:59:17.000Z,1209600,12019,"false","true",20,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","true","false","https://i.ytimg.com/vi/Y7nZ4mw4mXw/mqdefault.jpg","relevant"
20,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","44cd82d0f2c9a0bde523f64cf11e7c38d9881bea","qcT_IPrEvl0","ITV News","Coronavirus: Positive signs for Italy but situation in Spain worsens | ITV News",8040,"2:14","2 minutos y 14 segundos",2020-03-23T23:59:17.000Z,172800,771583,"false","true",21,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/qcT_IPrEvl0/mqdefault.jpg","relevant"
21,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","97a43bd8df1081077b709ef836dd4f6fe993e88e","z2KpsZRpoZ8","The New York Times","‘Brace Yourself’: Doctors in Italy Share Coronavirus Advice | NYT News",16740,"4:39","4 minutos y 39 segundos",2020-03-23T23:59:17.000Z,172800,1707,"false","true",22,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/z2KpsZRpoZ8/mqdefault.jpg","relevant"
22,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","776c9d0983b795c054d89f7ba7a7ae043f44e03b","p5b8ptdQwLk","Sky News","Coronavirus: Who is ending up in intensive care?",8760,"2:26","2 minutos y 26 segundos",2020-03-23T23:59:17.000Z,172800,141398,"false","true",23,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/p5b8ptdQwLk/mqdefault.jpg","relevant"
23,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","f3b4f672e07d4d3ecad528879ee9c8c2e684fc22","9wzc6nFKimI","The Sun","Coronavirus sufferer reveals what it’s like to have the disease",16200,"4:30","4 minutos y 30 segundos",2020-03-20T23:59:17.000Z,432000,490061,"false","true",24,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/9wzc6nFKimI/mqdefault.jpg","relevant"
24,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","5d49a187ebb13c81c0f70ad5a1b39d71b2966954","3M_ozYf6bdg","Global News","Coronavirus outbreak:  ’Enough in enough’ Trudeau tells Canadians who are flouting social distancing",13020,"3:37","3 minutos y 37 segundos",2020-03-23T23:59:17.000Z,172800,452089,"false","true",25,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/3M_ozYf6bdg/mqdefault.jpg","relevant"
25,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","780de08488931912e87ae81b95215c73af797db2","DSuwaZEF9ZY","BBC News","Coronavirus: How bad is the situation in Europe? - BBC News",79860,"22:11","22 minutos",2020-03-20T23:59:17.000Z,432000,3338,"false","true",26,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/DSuwaZEF9ZY/mqdefault.jpg","relevant"
26,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","cf24ac64f7629d7a12d161538bde451db8dfa9c8","_KfilpOdRYc","euronews (in English)","Italy suffocated by coronavirus: the story of patients and doctors in the grip of Covid-19",28920,"8:02","8 minutos y 2 segundos",2020-03-24T23:59:17.000Z,86400,154923,"false","true",27,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/_KfilpOdRYc/mqdefault.jpg","relevant"
27,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","5cdaa18b3fe472290a138869c9f0cbce85e679fa","EJDYz2Cd9dE","BBC News","Coronavirus: sharp rise in UK death toll as hospitals prepare for a surge in cases - BBC News",38940,"10:49","10 minutos y 49 segundos",2020-03-24T23:59:17.000Z,86400,1182,"false","true",28,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/EJDYz2Cd9dE/mqdefault.jpg","relevant"
28,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","b1e924e649da704d135d18175dbac2ca4980f22e","S0U5kzYWbSE","DW News","India imposes world’s biggest Coronavirus lockdown | DW News",19140,"5:19","5 minutos y 19 segundos",2020-03-25T10:59:17.000Z,46800,475854,"false","true",29,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/S0U5kzYWbSE/mqdefault.jpg","relevant"
29,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","03b11a4c72a562da22ce061d571d63c353f04cd7","dkozG3IcXUU","Channel 4 News","Italian doctor on how virus ’exploded’, having coronavirus & how to fight it",48420,"13:27","13 minutos y 27 segundos",2020-03-21T23:59:17.000Z,345600,1871,"false","true",30,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","true","https://i.ytimg.com/vi/dkozG3IcXUU/mqdefault.jpg","relevant"
30,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","0b22b2ecd6804776f538fff966cd73eef8baef9e","xdZtMgpxnPI","Sky News","Ventilator shortage could be solved",9780,"2:43","2 minutos y 43 segundos",2020-03-25T15:59:17.000Z,28800,205480,"false","true",31,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","true","https://i.ytimg.com/vi/xdZtMgpxnPI/mqdefault.jpg","linked"
31,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","1a8dcd98f43ac6eb5a2252d55a7415a7408fdd9f","GIcCypc3bmU","DW News","Italy’s death toll falls for the second consecutive day | Coronavirus Update",48420,"13:27","13 minutos y 27 segundos",2020-03-24T23:59:17.000Z,86400,1053,"false","true",32,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/GIcCypc3bmU/mqdefault.jpg","relevant"
32,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","fede1270533a64af051d8ec665142e1d5a664a08","LWP1_Q065PQ","euronews (in English)","Italy suffocated by #coronavirus: the story of patients and doctors in the grip of Covid-19",28860,"8:01","8 minutos y 1 segundo",2020-03-20T23:59:17.000Z,432000,877600,"false","true",33,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/LWP1_Q065PQ/mqdefault.jpg","relevant"
33,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","a94d522592090708ef3dcad9f9f27dd0358ea147","IkvMQi82fSg","DW News","US deemed next Coronavirus epicenter, agrees on $2 trillion dollar stimulus package | Corona Update",44160,"12:16","12 minutos y 16 segundos",2020-03-25T09:59:17.000Z,50400,236551,"false","true",34,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/IkvMQi82fSg/mqdefault.jpg","relevant"
34,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","dc23300feabf6079f2a4542c6a406814eccc129b","ZBXSC30pmQY","BBC News","Coronavirus: Spain’s death toll surpasses China’s - BBC News",8940,"2:29","2 minutos y 29 segundos",2020-03-25T14:59:17.000Z,32400,235729,"false","true",35,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","true","https://i.ytimg.com/vi/ZBXSC30pmQY/mqdefault.jpg","relevant"
35,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","d71de55f7ed08b575a86d6ab6430d83e18afbc1d","tLhPXyrl_MU","Sky News","Coronavirus: Italian family feared taking grandfather to hospital",10260,"2:51","2 minutos y 51 segundos",2020-03-21T23:59:17.000Z,345600,261001,"false","true",36,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/tLhPXyrl_MU/mqdefault.jpg","relevant"
36,"false","d9b98cae9ae98efea",2020-03-25T23:48:08.194Z,2020-03-25T23:58:59.000Z,"es","","9fc031b77f2f268d731290cb94a3ed65166090a5","El_Og1P2W9s","News Nation","Khalnayak: China’s Coronavirus Suspect To Be Shot Dead By North Korean Government",62040,"17:14","17 minutos",2020-03-11T23:59:17.000Z,1209600,7299,"false","true",37,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,635436,6042,213,25,"wetest1","sandwich-waffle-caramel","English","false","false","https://i.ytimg.com/vi/El_Og1P2W9s/mqdefault.jpg","relevant"
